epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3601.15,1.36509,1.40708,1.5442,0.25609,0.40638,0.22465,0.09362,2.10682,2.22592,2.00893,0.00023525,0.00023525,0.00023525
125,3630.07,1.36383,1.3688,1.5206,0.27441,0.37847,0.23312,0.09782,2.11394,2.1992,1.99986,0.000227,0.000227,0.000227
126,3659.1,1.36615,1.39609,1.53443,0.24506,0.42788,0.2271,0.0952,2.12399,2.23352,2.01968,0.00021875,0.00021875,0.00021875
127,3688.15,1.36627,1.37883,1.54158,0.24876,0.39095,0.22523,0.09431,2.13086,2.2571,2.02969,0.0002105,0.0002105,0.0002105
128,3717.03,1.32019,1.31903,1.52019,0.25485,0.41157,0.23086,0.09647,2.12395,2.21208,2.02413,0.00020225,0.00020225,0.00020225
129,3745.9,1.33406,1.34959,1.51672,0.24164,0.41995,0.22451,0.09484,2.12429,2.24668,2.02343,0.000194,0.000194,0.000194
130,3774.93,1.32224,1.33243,1.51097,0.26441,0.41453,0.2353,0.10007,2.11248,2.22573,2.02068,0.00018575,0.00018575,0.00018575
131,3803.87,1.32106,1.33713,1.50046,0.26567,0.39626,0.23284,0.09762,2.11524,2.25901,2.02053,0.0001775,0.0001775,0.0001775
132,3832.74,1.32634,1.31397,1.50519,0.27739,0.3703,0.2276,0.09581,2.12396,2.25998,2.02572,0.00016925,0.00016925,0.00016925
133,3861.72,1.33814,1.33638,1.5119,0.26172,0.41448,0.23343,0.09818,2.12195,2.27487,2.01992,0.000161,0.000161,0.000161
134,3890.69,1.30897,1.30877,1.50418,0.26375,0.4134,0.23321,0.09808,2.14773,2.25078,2.0461,0.00015275,0.00015275,0.00015275
135,3919.59,1.31114,1.31239,1.51059,0.25164,0.38063,0.22508,0.09603,2.15488,2.29285,2.05473,0.0001445,0.0001445,0.0001445
